distinct_id,event_name,page_category,person_opk,ts,uri_path,utm_source
8f8ed92944a07141d8c537f8b4d60e62,pageview,search,,1493642029744,/search/,
dad057df82e237a8841db722b746d479,pageview,home,2e07ffaf41b477d9f9311b5d676a8cd0,1493675205365,/,
add9f9de39f062d5dada4b330cd07729,pageview,home,,1493658033975,/,
c64a23fd6849972843f68d00b21378b4,pageview,search,561af78434c99ec1583da1853e2f4789,1493671435560,/search/,c822c1b63853ed273b89687ac505f9fa
0f58ada58f2074510d72b44f58e0bf07,pageview,search,,1493607564082,/search/,26cae7718c32180a7a0f8e19d6d40a59
15756f2636b3cdd6745872880d1a83f2,pageview,search,,1493654769274,/search/,
7fd110e6eb0eec5aa1ab85d920559798,pageview,search,ef31b00d45df419919c5189a3027d274,1493605183327,/search/,
219cd4e4384384041b0e5e68a52784c7,pageview,home,,1493641451481,/,
14ddd32ed524fb993b2aea6a7ac0815e,pageview,search,,1493599772335,/search/,c822c1b63853ed273b89687ac505f9fa
916ed11913c14b086e88bf501dae20c5,pageview,home,a964f409a3b7c6db6ab58b6fb05f420c,1493662192394,/,c822c1b63853ed273b89687ac505f9fa
95ae8f322b55e56eb2807fde82c71230,pageview,home,,1493618796373,/,
215c0de3420bdefde1d951f1069ad35d,pageview,search,ec597deead67b433b4dac5312a7c60c8,1493619896738,/search/,
11c11aa8f41455be09bd5b8bb53cf757,pageview,search,0dbee648860495b1bd1d5a1cdfe24872,1493670715870,/search/,
2c820995d10d4a09545eb510cc3b9664,pageview,home,71bc2aa6a7e807932b36ea14ec9cdef3,1493667702399,/,c822c1b63853ed273b89687ac505f9fa
b1ed520fc4ef3630b839aaf7cf27d5b8,pageview,search,,1493646381803,/search/,c822c1b63853ed273b89687ac505f9fa
0ce24cd2595bab8f0373534560c57e78,pageview,search,90e928ad61f2202e027a566d053ab8a4,1493642474295,/search/,
f14ba3133fd51d90574adb383fcf40e3,pageview,home,,1493673392441,/,
6e279a2b4c21c703f65faf81cf48e5ea,pageview,home,,1493660923975,/,
e6fa1ccfbfdfde468de1ddfbf8f3aaf3,pageview,home,,1493664110702,/,
32d2d5f8b41bf5ae86ca971d249ee66b,pageview,search,cb77b39de823d2653071d2ee3c13fe6d,1493654266429,/search/,738aa8d3bc02eb8712acd0eb2cf6dfd5
b5b7e342f743549da817ca00ba35a3bf,pageview,home,,1493641829158,/,738aa8d3bc02eb8712acd0eb2cf6dfd5
f36ff99f9ae2a217acef6b14c708a231,pageview,search,,1493678984136,/search/,c822c1b63853ed273b89687ac505f9fa
1cc149a977e4f9d772efe357281ca68b,pageview,search,1081d7d198d7b052495085d4e537ba88,1493615360954,/search/,9113d19048abb65bbff551b3417301d6
bac57f9774f7630a3e60b1efb4a72a0b,pageview,search,,1493654833317,/search/,c822c1b63853ed273b89687ac505f9fa
cbe15130843b4bd9a0b4aa1f1e4a0cec,pageview,search,429704579b736ead08750e2fdd2e0c92,1493681723518,/search/,
513b8da0aa2ab4a56ca7585ffa53d3b6,pageview,home,,1493652210611,/,
